Region_Area_State,Year,Wind_speed,Rainfall_actual,Rainfall_normal,Population_Urban,Population_Rural,Fishing_Inland,Fishing_Marine,MSW,Atmosheric_Microplastics,Beach_Plastics,Summer,Spring,Winter,Covid_19,Plastic_Production
Haryana,2018,19.8,423.1,466.3,11173000,17228000,1.80,0.00,1692063,223950.970,,32.15,25.84,19.58,,68735.26
Himachal Pradesh,2018,16.6,917.3,825.3,741000,6527000,0.13,0.00,141985,6971.214,,15.57,10.74,5.94,,3672
Jammu and Kashmir,2018,11.3,597.3,534.6,3854000,9281000,0.21,0.00,558643,12598.637,,,,,,34367.37
Jharkhand,2018,17.5,784.3,1091.9,9397000,27650000,2.08,0.00,804825,53995.440,,30.64,24.65,18.7,,51454.53
Karnataka,2018,28.4,4104.9,4249.8,27604000,37846000,1.98,3.90,4364670,39236.550,3484.39,31.88,26.44,21.06,,272776
Kerala,2018,25.8,2517.3,2039.6,22754000,12249000,1.92,6.09,1424603,33031.810,7097.09,30.82,26.73,22.71,,133316
Lakshadweep,2018,37.1,553.2,998.5,63000,4000,0.00,0.22,12775,64.264,,30.98,27.92,24.93,,148
Madhya Pradesh,2018,22.5,1756.9,1927.3,23200000,58271000,1.73,0.00,2920000,78144.160,,32.63,26.04,19.49,,72327.39
Maharashtra,2018,26.3,4958.8,5281.5,57364000,64027000,1.00,4.68,8703261,116434.040,8123.5,33.56,27.14,20.76,,409630
Manipur,2018,12.3,1258.4,1496.9,961000,2119000,0.32,0.00,79789,2954.229,,24.15,19.5,14.91,,12453.8
Meghalaya,2018,9.7,1322.9,1792.8,655000,2545000,0.13,0.00,62280,3069.329,,25.8,21.51,17.28,,1263
Mizoram,2018,7.8,1258.4,1496.9,638000,546000,0.07,0.00,91768,1135.652,,25.68,21.1,16.58,,13.306
Nagaland,2018,7.4,1258.4,1496.9,836000,1298000,0.09,0.00,123918,2046.859,,23.85,19.13,14.47,,268.18
Odisha,2018,25.2,1290.2,1149.9,8054000,36720000,6.00,1.59,936017,113591.530,5935.62,31.29,25.86,20.47,,90138.98
Puducherry,2018,25.7,290.7,317.2,1030000,451000,0.07,0.40,218726,1420.524,378.151,32.71,28.72,24.79,,8433
Punjab,2018,18,527.4,491.9,11920000,17779000,1.35,0.00,1691585,58328.480,,31.61,25.29,19.01,,119414.64
Rajasthan,2018,21.5,837,879,19874000,56718000,0.55,0.00,2418329,73898.290,,33.75,26.68,19.66,,104704.383
Sikkim,2018,13.4,1740.6,2006.2,260000,399000,0.00,0.00,27412,632.090,,10.41,4.49,-1.41,,5.66
Tamil Nadu,2018,24.2,290.7,317.2,38948000,36512000,1.70,5.20,5098320,19032.100,11290.5,32.36,27.82,23.33,,401091
Telangana,2018,28.9,741.1,759.2,16365000,20665000,2.84,0.00,3101405,50644.630,,,,,,183014.65
Tripura,2018,15.5,1258.4,1496.9,1350000,2613000,0.70,0.00,162688,3801.172,,29.2,24.3,19.45,,26.2
