States,Year,Natural_Calamities,Wind_speed,Rainfall_Actual,Rainfall_Normal,Population_Urban,Population_Rural,Fishing_Inland,Fishing_Marine,Harbour_Plastic,MSW,Beach_plastics,Climate_change,Plastic_entering_sea
,,Number,kmph,mm,mm,Persons,Persons,Lakh Tonnes,Lakh Tonnes,TPA,TPA,Kg,,TPA
Manipur,2018,1,12.3,1258.4,1496.9,961000,2119000,0.32,0.00,0.00,79789,0,0,833.00
Meghalaya,2018,0,14.6,1322.9,1792.8,655000,2545000,0.13,0.00,0.00,62280,0,0,650.20
Mizoram,2018,1,7.8,1258.4,1496.9,638000,546000,0.07,0.00,0.00,91768,0,0,958.06
Nagaland,2018,1,7.4,1258.4,1496.9,836000,1298000,0.09,0.00,0.00,123918,0,0,1293.70
Odisha,2018,1,21.2,1290.2,1149.9,8054000,36720000,6.00,1.59,48.83,936017,5935.62,0,9772.02
Puducherry,2018,0,28.1,290.7,317.2,1030000,451000,0.07,0.40,0.00,218726,378.151,0,2283.50
Punjab,2018,0,17.65,527.4,491.9,11920000,17779000,1.35,0.00,0.00,1691585,0,0,17660.15
Rajasthan,2018,0,22.7,837,879,19874000,56718000,0.55,0.00,0.00,2418329,0,0,25247.36
Sikkim,2018,0,13.4,1740.6,2006.2,260000,399000,0.00,0.00,0.00,27412,0,1,286.18
Tamil Nadu,2018,0,24.35,290.7,317.2,38948000,36512000,1.70,5.20,409.30,5098320,11290.5,0,53226.46
Telangana,2018,0,27.65,741.1,759.2,16365000,20665000,2.84,0.00,0.00,3101405,0,0,32378.67
Tripura,2018,1,11.65,1258.4,1496.9,1350000,2613000,0.70,0.00,0.00,162688,0,0,1698.46
Uttar Pradesh,2018,1,20.5,1532.7,1667,52081000,170922000,6.62,0.00,0.00,6342715,0,0,66217.94
Uttarakhand,2018,0,17.15,1194.3,1229.1,3726000,7329000,0.05,0.00,0.00,557522,0,1,5820.53
West Bengal,2018,0,23.65,2677.4,3174.1,33635000,62865000,16.19,1.63,295.82,5333855,1958.28,0,55685.44
Andaman and Nicobar Islands,2017,0,29.95,1526,1682.5,162000,232000,0.00,0.39,0.00,35214,0,0,367.63
Andhra Pradesh,2017,0,29.95,1168.9,979.4,17133000,34616000,28.45,6.05,29.64,2383547,8222.99,0,24884.23
Arunachal Pradesh,2017,1,7.35,1572.3,1768,360000,1118000,0.04,0.00,0.00,74445,0,0,777.21
Assam,2017,1,8.1,1614.5,1792.8,5007000,28661000,3.27,0.00,0.00,1698637,0,0,17733.77
Bihar,2017,1,23.15,936.8,1027.6,13780000,102771000,5.88,0.00,0.00,829280,0,0,8657.68
Chandigarh,2017,0,17.2,345.8,466.3,1145000,10000,0.00,0.00,0.00,182500,0,0,1905.30
Chhattisgarh,2017,0,19.35,1039.4,1153.3,7107000,20977000,4.57,0.00,0.00,730000,0,0,7621.20
Dadra and Nagar Haveli and Daman and Diu,2017,0,21.3,1641.6,1392.2,480000,237000,0.00,0.24,0.00,30000,675.33,0,313.20
Delhi,2017,0,18.1,345.8,466.3,18959000,223000,0.01,0.00,0.00,3775832,,0,39419.68
Goa,2017,0,19.1,3206,2914.7,1060000,464000,0.06,1.18,284.21,72677,675.33,0,758.74
Gujarat,2017,1,24.45,1641.6,1392.2,30469000,35924000,1.38,7.01,186.81,3567176,10255.8,0,37241.32
Haryana,2017,0,19.3,345.8,466.3,10846000,17150000,1.90,0.00,0.00,1776824,0,0,18550.04
Himachal Pradesh,2017,1,16.5,720.7,825.3,735000,6486000,0.13,0.00,0.00,128101,0,1,1337.38
Jammu and Kashmir,2017,1,12.95,545.4,534.6,3791000,9242000,0.21,0.00,0.00,583007,0,0,6086.60
Jharkhand,2017,0,18.05,978.8,1091.9,9197000,27315000,1.90,0.00,0.00,703178,0,0,7341.18
Karnataka,2017,0,26.9,3789.5,4249.8,27073000,37853000,1.88,4.14,43.31,3485373,2362.51,0,36387.30
Kerala,2017,0,19.65,1857.4,2039.6,21832000,12989000,1.89,4.84,47.80,1398517,4812,0,14600.52
Lakshadweep,2017,0,31.4,1108.3,998.5,62000,5000,0.00,0.21,0.00,12775,0,0,133.37
Madhya Pradesh,2017,0,21.65,1533.8,1927.3,22785000,57544000,1.43,0.00,0.00,2632380,0,0,27482.05
Maharashtra,2017,1,24.35,5432.4,5281.5,56494000,63755000,1.31,4.75,491.01,8405837,5507.94,0,87756.94
Manipur,2017,0,8.5,1870.7,1496.9,944000,2106000,0.33,0.00,0.00,40937,0,0,427.39
Meghalaya,2017,1,12.05,1614.5,1792.8,647000,2522000,0.12,0.00,0.00,76650,0,0,800.23
Mizoram,2017,0,7.7,1870.7,1496.9,629000,543000,0.08,0.00,0.00,73320,0,0,765.46
Nagaland,2017,0,6.5,1870.7,1496.9,797000,1316000,0.09,0.00,0.00,127020,0,0,1326.09
Odisha,2017,1,20.35,1051.7,1149.9,7912000,36516000,5.34,1.51,6.55,196896,4024.5,0,2055.59
Puducherry,2017,0,27.45,414.1,317.2,1004000,443000,0.07,0.42,0.00,154787,256.396,0,1615.98
Punjab,2017,0,16.9,384.9,491.9,11717000,17743000,1.37,0.00,0.00,1615314,0,0,16863.88
Rajasthan,2017,0,21.45,931.7,879,19503000,56081000,0.54,0.00,0.00,2391508,0,0,24967.34
Sikkim,2017,0,17.2,2039.8,2006.2,244000,408000,0.00,0.00,0.00,26769,0,1,279.47
Tamil Nadu,2017,1,23.75,414.1,317.2,38435000,36671000,1.85,4.97,407.38,5538733,7655.25,0,57824.38
Telangana,2017,0,26.9,657.4,755.2,15987000,20791000,2.70,0.00,0.00,2848460,0,0,29737.92
Tripura,2017,0,12.9,1870.7,1496.9,1294000,2630000,0.77,0.00,0.00,158118,0,0,1650.75
Uttar Pradesh,2017,1,20.65,1179.5,1667,51068000,168971000,6.29,0.00,0.00,5657500,0,0,59064.30
Uttarakhand,2017,0,16.05,1199,1229.1,3631000,7296000,0.05,0.00,0.00,401135,0,1,4187.85
West Bengal,2017,1,22.6,3172.8,3174.1,33030000,62861000,15.57,1.85,293.95,4427179,1327.77,0,46219.75
Andaman and Nicobar Islands,2016,0,31.35,1562.6,1682.5,159000,233000,0.00,0.39,0.00,41975,0,0,438.22
Andhra Pradesh,2016,1,28.55,1055.1,979.4,16740000,34726000,21.86,5.80,37.23,2361550,7601.21,0,24654.58
Arunachal Pradesh,2016,1,7.75,1699.1,1768,353000,1110000,0.04,0.00,0.00,5913,0,0,61.73
Assam,2016,1,8.55,1249,1792.8,4911000,28382000,3.07,0.00,0.00,2960150,0,0,30903.97
Bihar,2016,1,24.6,994.1,1027.6,13476000,101294000,5.09,0.00,0.00,1090651,0,0,11386.39
Chandigarh,2016,0,16.3,338.3,466.30,1129000,12000,0.00,0.00,0.00,164250,0,0,1714.77
Chhattisgarh,2016,0,17.45,1176,1153.3,6920000,20780000,3.77,0.00,0.00,2190000,0,0,22863.60
Dadra and Nagar Haveli and Daman and Diu,2016,0,18.8,1111.5,1392.2,522000,234000,0.01,0.23,0.00,31631,624.265,0,330.23
Delhi,2016,0,16.9,338.3,466.30,18553000,250000,0.01,0.00,0.00,3701229,0,0,38640.83
Goa,2016,0,19,3549.8,2914.70,1037000,478000,0.04,1.14,224.74,82782,624.265,0,864.24
Gujarat,2016,1,22.55,1111.5,1392.2,29709000,35758000,1.17,6.99,187.70,3517424,9480.35,0,36721.91
Haryana,2016,0,17.7,338.3,466.30,10522000,17068000,1.44,0.00,0.00,1647610,0,0,17201.05
Himachal Pradesh,2016,0,14.8,624.5,825.3,728000,6446000,0.13,0.00,0.00,124958,0,1,1304.56
Jammu and Kashmir,2016,0,11.55,481.8,534.6,3729000,9202000,0.20,0.00,0.00,695460,0,0,7260.60
Jharkhand,2016,0,19.6,1096.9,1091.9,8999000,26979000,1.45,0.00,0.00,692894,0,0,7233.81
Karnataka,2016,0,27,3479,4249.8,26548000,37855000,1.59,3.99,67.16,4082890,2183.87,0,42625.37
Kerala,2016,0,24.8,1352.2,2039.6,20909000,13730000,1.61,4.31,46.63,1221126,4448.15,0,12748.55
Lakshadweep,2016,0,34.1,745.5,998.5,60000,7000,0.00,0.30,0.00,12775,0,0,133.37
