Recycling_Plant,Number_of_staffs,Latitude,Longitude,Materials_Accepted,Recycled_Products,Materials_Processed(TPA),Capacity(TPA)
,,,,,,,
Prayosha Polyplast,,23.01546,72.62956,Waste Plastic,Granules/Pellets,,
,,,,,,,
Precision Polymers,,20.24264,73.03377,"PP, HDPE, LDPE, LLDPE, ABS, HIPS",Granules/Pellets,,
,,,,,,,
R. S. Plastic,10,28.79821,77.03685,PP,Granules/Pellets,,
,,,,,,,
R.K.L. Industries,,26.46271,80.25433,"PA, HDPE, LDPE, POM, PBT","Granules/Pellets, Flakes",,
,,,,,,,
Rainbow Polymers,,12.95079,77.55381,Waste Plastic,"Granules/Pellets, Flakes",,
,,,,,,,
Raj Plastic Industries,10,23.08498,72.51111,"PP, HDPE",Granules/Pellets,,
,,,,,,,
Rajesh Polytech,,12.93861,77.53797,HDPE,Granules/Pellets,,
,,,,,,,
Ram Plastic,9,28.79821,77.03685,HDPE,Granules/Pellets,,
,,,,,,,
Rayan Polymers LLP,,,,"PP, ABS, HIPS","Granules/Pellets, Flakes",,
,,,,,,,
Raza Traders,,19.04452,72.85716,"PA, PC, ABS, POM, PBT",Granules/Pellets,,
,,,,,,,
Rejo Polymers,,12.96251,79.94941,"PP, PA, PC, HDPE, ABS, HIPS",Granules/Pellets,,
,,,,,,,
Rexaw,,20.38128,72.93529,"PA, PE",Granules/Pellets,,
,,,,,,,
RI Import & Export,,20.94708,72.92954,"PET, PP, PC, PVC, HDPE","Granules/Pellets, Flakes",,
,,,,,,,
RK Enterprises,10,29.15381,76.9895,"PET, PP, LDPE","Granules/Pellets, Flakes",,600
,,,,,,,
Roto Polymers,,22.95905,72.47108,"PP, HDPE, LDPE, LLDPE",Granules/Pellets,,
,,,,,,,
Royal Glass Agency,25,22.52848,88.36496,PET,Flakes,,"2,400"
,,,,,,,
RR Petroplast Pvt. Ltd.,,18.75,73.75,"PP, PS, PC, HDPE, LDPE, ABS",Granules/Pellets,,
,,,,,,,
Rudra Polyester,,,,"PET, PE",Granules/Pellets,,
,,,,,,,
Rudraksh Polychem,,22.95905,72.47108,"PP, HDPE, LDPE",Granules/Pellets,,
,,,,,,,
S Group of Industries,,10.93714,78.04017,"PP, HDPE, LDPE",Granules/Pellets,,
,,,,,,,
S.S.B. Polymers & S.S.B. Enterprises,,18.64239,73.83088,"PET, PP, PS, PC, PVC, ABS, POM",Granules/Pellets,,
,,,,,,,
Sachin Plastic,,28.66953,77.33477,"PP, LDPE, LLDPE",Granules/Pellets,,
,,,,,,,
Salasar Balaji Industries,15,22.69792,75.92045,Waste Plastic,Granules/Pellets,,
,,,,,,,
Samridhi Industries,12,23.98442,85.37358,"PP, HDPE, LDPE",Granules/Pellets,,600
,,,,,,,
Sandeep Plastic,,28.66677,77.05078,PC,Granules/Pellets,,360
,,,,,,,
Sandeep Polymers,25,28.8484,77.08964,"PVC, LDPE",Granules/Pellets,,
,,,,,,,
Sangamam Polymers,,11.06278,76.94077,"PP, HDPE, LDPE",Granules/Pellets,,
,,,,,,,
Santosh Plastic,,28.79821,77.03685,"PP, HDPE, LDPE",Granules/Pellets,,
,,,,,,,
Saroj Microchem Pvt. Ltd.,,19.04447,72.86732,PET,Flakes,,400
,,,,,,,
SD Polymer Pvt Ltd,,28.39425,77.3027,"PP, ABS",Granules/Pellets,,
,,,,,,,
Sevenstar Polytex Pvt. Ltd.,25,22.72239,75.807,PET,"Granules/Pellets, Flakes",,
,,,,,,,
Shah Plast Management,,22.52531,73.28682,PP,Flakes,,
,,,,,,,
Shakmbhri Polymers,,28.79821,77.03685,Waste Plastic,Granules/Pellets,,
,,,,,,,
Shakti Corporation Pvt. Ltd.,,19.19002,72.84089,"PET, PP, PS, PE, PVC, HDPE, LDPE, ABS, HIPS",Granules/Pellets,,"8,400"
,,,,,,,
Shakti Plastic Industries,,19.19002,72.84089,"PP, PA, PS, HDPE, LDPE, ABS, HIPS",Granules/Pellets,,
,,,,,,,
Shakti Polymers,8,28.79821,77.03685,PP,Granules/Pellets,,"1,200"
,,,,,,,
Shamali Polymats,26-50,20.9248,75.61037,PP,Granules/Pellets,,
,,,,,,,
Sharma Plastic,25,30.52402,75.89146,PP,Granules/Pellets,,"24,000"
,,,,,,,
Shiv Pooja Plastic,,28.69247,77.08809,"PP, ABS",Granules/Pellets,,
,,,,,,,
Shivam Industries,,29.93141,78.10114,"PC, ABS, ASA, PBT",Granules/Pellets,,
,,,,,,,
Shivana Agropack LLP,,22.81029,70.8313,PET,Flakes,,"2,200"
,,,,,,,
Shree Balaji Industries,Nov-25,22.95386,76.07485,PVC,Flakes,,
,,,,,,,
Shree Balaji Traders,18,22.7393,75.83454,"PP, HDPE",Granules/Pellets,,
,,,,,,,
Shree Bhavani Engg. Works,,19.1265,73.00135,"PP, HDPE, LDPE, LLDPE",Granules/Pellets,,
,,,,,,,
Shree Krishna Polymers,9,26.86323,75.66128,"PA, ABS",Granules/Pellets,,840
,,,,,,,
Shree Renga Polymers,,10.93714,78.04017,PET,Flakes,,
,,,,,,,
Shree Sadguru Plastic Industries,,19.11924,72.95614,"PP, PA, PS, PC, LDPE, LLDPE, ABS, HIPS, SAN",Granules/Pellets,,"3,000"
,,,,,,,
Shree Salonee,,23.01516,72.64701,PP,Granules/Pellets,,
,,,,,,,
Shreeji Polyplast,10,20.24264,73.03377,PP,Granules/Pellets,,
,,,,,,,
Shreenathji Process,10,21.74187,70.44921,"PP, HDPE",Granules/Pellets,,
,,,,,,,
Shri Ganesh Polymer,5,28.69485,77.13572,"PC, PBT",Granules/Pellets,,
,,,,,,,
Shri Lakshmi Polyplast,22,28.4549,76.91294,"PP, PA, PC, HDPE, LDPE, ABS, HIPS, PBT",Granules/Pellets,,
,,,,,,,
Shri Radhay Krishna Enterprises,5,28.66677,77.05078,"LDPE, HIPS",Granules/Pellets,,
,,,,,,,
Shri Ram Dev Plastic,,28.66677,77.05078,HIPS,"Granules/Pellets, Flakes",,
,,,,,,,
Shubham Polymer,,22.24262,70.68025,HDPE,"Granules/Pellets, Flakes",,
,,,,,,,
Shyam Polymers,,22.30735,73.18116,"PA, PC, PBT",Granules/Pellets,,
,,,,,,,
Siddhi Vinayak Industries,,23.11106,72.59138,"PP, HDPE",Granules/Pellets,,
,,,,,,,
Sparsh Polychem Private Limited,,28.69004,76.93159,"PP, PA, PC, ABS, PMMA, PBT",Granules/Pellets,,
,,,,,,,
Sri Chakra Polyplast India Pvt Ltd.,,17.55882,78.20832,"PET, PP, PE","Granules/Pellets, Flakes",,
,,,,,,,
Strong Strap Pvt. Ltd.,,23.04566,72.53803,PET,Flakes,,"1,500"
,,,,,,,
Surya Min Chem,26-50,28.79821,77.03685,"PA, PVC, ABS",Granules/Pellets,,
,,,,,,,
Suyog Polymers,,19.21276,73.0908,"PVC, HDPE, LDPE","Granules/Pellets, Flakes",,
,,,,,,,
Tech Plast,,28.7485,77.1306,"PP, HDPE, LDPE, ABS, HIPS",Granules/Pellets,,
,,,,,,,
Thrinetra Pet Flakes,,,,PET,Flakes,,
,,,,,,,
TP Polymer Private Limited,,28.8484,77.08964,"PP, LDPE",Granules/Pellets,,
,,,,,,,
Tula Packaging Pvt Ltd,,26.71787,88.42747,PET,Granules/Pellets,,
,,,,,,,
Umiya Products Industries,,23.01546,72.62956,"PP, HDPE, LDPE, HIPS",Granules/Pellets,,
,,,,,,,
Vaishnavi Poly Plast,,20.76684,75.6447,LLDPE,Granules/Pellets,,
,,,,,,,
Vanshika Plastic Industries,,28.79821,77.03685,"HDPE, LDPE, LLDPE",Granules/Pellets,,
,,,,,,,
Vanshika Plastic Industry,,28.79821,77.03685,"PP, HDPE, LDPE, LLDPE",Granules/Pellets,,
,,,,,,,
Vishal Poly Fibers Pvt. Ltd.,,21.38632,72.96857,PET,Flakes,,"14,400"
,,,,,,,
VKS Plastic Compound Private Limited,25,,,"PP, PVC",Granules/Pellets,,
,,,,,,,
Vrindavan Plastic Industries,,19.11924,72.95614,"PP, PA, PS, PC, HDPE, LDPE, LLDPE, HIPS, SAN",Granules/Pellets,,
,,,,,,,
WhiteLine Thermoplast Private Limited,,24.56001,73.7081,"PP, HDPE, LDPE, LLDPE",Granules/Pellets,,
,,,,,,,
Yadav Infrapolymers Private Limited,,,,"PP, PA, PC, ABS, PMMA, PBT",Granules/Pellets,,
